especie	isla	largo_pico_mm	alto_pico_mm
Adelia	Torgersen	39.1	18.7
Adelia	Torgersen	39.5	17.4
Adelia	Torgersen	40.3	18
Adelia	Torgersen	NA	NA
Adelia	Torgersen	36.7	19.3
Adelia	Torgersen	39.3	20.6
Adelia	Torgersen	38.9	17.8
Adelia	Torgersen	39.2	19.6
Adelia	Torgersen	34.1	18.1
Adelia	Torgersen	42	20.2
Adelia	Torgersen	37.8	17.1
Adelia	Torgersen	37.8	17.3
Adelia	Torgersen	41.1	17.6
Adelia	Torgersen	38.6	21.2
Adelia	Torgersen	34.6	21.1
Adelia	Torgersen	36.6	17.8
Adelia	Torgersen	38.7	19
Adelia	Torgersen	42.5	20.7
Adelia	Torgersen	34.4	18.4
Adelia	Torgersen	46	21.5
Adelia	Biscoe	37.8	18.3
Adelia	Biscoe	37.7	18.7
Adelia	Biscoe	35.9	19.2
Adelia	Biscoe	38.2	18.1
Adelia	Biscoe	38.8	17.2
Adelia	Biscoe	35.3	18.9
Adelia	Biscoe	40.6	18.6
Adelia	Biscoe	40.5	17.9
Adelia	Biscoe	37.9	18.6
Adelia	Biscoe	40.5	18.9
Adelia	Dream	39.5	16.7
Adelia	Dream	37.2	18.1
Adelia	Dream	39.5	17.8
Adelia	Dream	40.9	18.9
Adelia	Dream	36.4	17
Adelia	Dream	39.2	21.1
Adelia	Dream	38.8	20
Adelia	Dream	42.2	18.5
Adelia	Dream	37.6	19.3
Adelia	Dream	39.8	19.1
Adelia	Dream	36.5	18
Adelia	Dream	40.8	18.4
Adelia	Dream	36	18.5
Adelia	Dream	44.1	19.7
Adelia	Dream	37	16.9
Adelia	Dream	39.6	18.8
Adelia	Dream	41.1	19
Adelia	Dream	37.5	18.9
Adelia	Dream	36	17.9
Adelia	Dream	42.3	21.2
Adelia	Biscoe	39.6	17.7
Adelia	Biscoe	40.1	18.9
Adelia	Biscoe	35	17.9
Adelia	Biscoe	42	19.5
Adelia	Biscoe	34.5	18.1
Adelia	Biscoe	41.4	18.6
Adelia	Biscoe	39	17.5
Adelia	Biscoe	40.6	18.8
Adelia	Biscoe	36.5	16.6
Adelia	Biscoe	37.6	19.1
Adelia	Biscoe	35.7	16.9
Adelia	Biscoe	41.3	21.1
Adelia	Biscoe	37.6	17
Adelia	Biscoe	41.1	18.2
Adelia	Biscoe	36.4	17.1
Adelia	Biscoe	41.6	18
