codigo_cola	anio
N10156	2004
N102UW	1998
N103US	1999
N104UW	1999
N10575	2002
N105UW	1999
N107US	1999
N108UW	1999
N109UW	1999
N110UW	1999
N11106	2002
N11107	2002
N11109	2002
N11113	2002
N11119	2002
N11121	2003
N11127	2003
N11137	2003
N11140	2003
N11150	2003
N11155	2004
N11164	2004
N11165	2004
N11176	2004
N11181	2005
N11184	2005
N11187	2005
N11189	2005
N11191	2005
N11192	2005
N11193	2005
N11194	2005
N11199	2006
N111US	1999
N11206	2000
N112US	1999
N113UW	1999
N114UW	1999
N11535	2001
N11536	2001
N11539	2001
N11544	2002
N11547	2002
N11548	2002
N11551	2002
N11565	2002
N117UW	2000
N118US	2000
N119US	2000
N1200K	1998
N1201P	1998
N12109	1994
N12114	1995
N12116	1996
N12122	2003
N12125	1998
N12126	2003
N12135	2003
N12136	2003
N12142	2003
N12145	2003
N12157	2004
N12160	2004
N12163	2004
N12166	2004
N12167	2004
N12172	2004
N12175	2004
N12195	2005
N121DE	1987
N121UW	2000
N12201	2006
N12216	1998
N12218	1998
N12221	1998
N12225	1998
N12238	1999
N122US	2000
N123UW	2000
N124US	2000
N12540	2001
N12552	2002
N12563	2002
N12564	2002
N12567	2002
N12569	2002
N125UW	2009
N126UW	2009
N127UW	2010
N128UW	2010
N12900	2001
N12921	2000
N12922	2000
N12924	2000
N12957	1998
N12967	1999
N12996	2000
N13110	1994
N13113	1995
N13118	2002
N13123	2003
N13124	2003
N13132	2003
N13133	2003
N13138	1999
N13161	2004
N131EV	2009
N13202	2006
N13248	1999
N132EV	2009
N133EV	2009
N134EV	2009
N13538	2001
N13550	2002
N13553	2002
N13566	2002
N135EV	2009
N136DL	1991
N136EV	2009
N13716	1998
N13718	1999
N13750	1999
N137DL	1991
N137EV	2009
N138EV	2009
N13903	2001
N13908	2001
N13913	2001
N13914	2001
N13949	1998
N13955	1998
N13956	1998
N13958	1998
N13964	1999
N13965	1999
N13968	1999
N13969	1999
N13970	1999
N13975	1999
N13978	1999
N13979	1999
N13988	2000
N13989	2000
N13992	2000
N13994	2000
N13995	2000
N13997	2000
N14102	1994
N14105	2002
N14106	1994
N14107	1994
N14115	1995
N14116	2002
N14117	2002
N14118	1997
N14120	1997
N14121	1997
N14125	2003
N14143	2003
N14148	2003
N14153	2003
N14158	2004
N14162	2004
N14168	2004
N14171	2004
N14173	2004
N14174	2004
N14177	2005
N14179	2005
N14180	2005
N14186	2005
N14188	2005
N14198	2006
N14203	2006
N14204	2006
N14214	1998
N14219	1998
N14228	1999
N14230	1999
N14231	1999
N14237	1999
N14242	1999
N14250	1999
N143DA	1998
N14542	2001
N14543	2002
N14558	NA
N14562	2002
N14568	2002
N14570	2002
N14573	2002
N14629	1965
N146PQ	2007
N14704	1998
N14731	1999
N147PQ	2007
N14902	2001
N14904	2001
N14905	2001
N14907	2001
N14916	2001
N14920	2001
N14923	2000
N14950	1998
N14952	1998
N14953	1998
N14959	1998
N14960	1998
N14972	1999
N14974	1999
N14977	1999
N14991	2000
N14993	2000
N14998	2000
N1501P	1990
N150UW	2013
N151UW	2013
N152DL	1990
N152UW	2013
N153DL	1990
N153PQ	2007
N153UW	2013
N154DL	1991
N154UW	2013
N15555	NA
N15572	2002
N15574	NA
N155DL	1991
N155UW	2013
N156DL	1991
N156UW	2013
N15710	1998
N15712	1998
N157UW	2013
N15910	2001
N15912	2001
N15973	1999
N15980	1999
N15983	2000
N15985	2000
N15986	2000
N1602	1999
N1603	1999
N1604R	1999
N1605	1999
N16065	1999
N1607B	2000
N1608	2000
N1609	2000
N1610D	2000
N16112	2002
N1611B	2000
N1612T	2001
N1613B	2001
N16147	2003
N16149	2003
N16151	2003
N16170	2004
N16178	2005
N16183	2005
N161PQ	2008
N161UW	2001
N16217	1998
N16234	1999
N162PQ	2008
N162UW	2001
N163US	2001
N16541	2001
N16546	2002
N16559	2002
N16561	2002
N16571	2002
N165US	2001
N166PQ	2008
N16701	1998
N16703	1998
N16709	1998
N16713	1998
N16732	1999
N167US	2001
N168AT	2004
N16911	2001
N16918	2001
N16919	2001
N16951	1998
N16954	1998
N16961	1999
N16963	1999
N16976	1999
N16981	1999
N16987	2000
N16999	2000
N169AT	2004
N169DZ	1998
N169UW	2001
N170PQ	2008
N170US	2001
N17104	1994
N17105	1994
N17108	2002
N17115	2002
N17122	1997
N17126	1998
N17128	1998
N17133	1998
N17138	2003
N17139	2000
N17146	2003
N17159	2004
N17169	2004
N17185	2005
N17196	2005
N171DN	1990
N171DZ	1998
N171US	2001
N17229	1999
N17233	1999
N17244	1999
N17245	1999
N172DN	1990
N172DZ	1998
N172US	2001
N173AT	2004
N173DZ	1998
N173US	2001
N174AT	2004
N174DN	1990
N174DZ	1998
N174US	NA
N17560	2002
N175AT	2004
N175DN	1990
N175DZ	1999
N176AT	2005
N176DN	1990
N176DZ	1999
N176PQ	2008
N176UW	2001
N17719	1999
N17730	1999
N177DN	1991
N177DZ	1999
N177US	NA
N178DN	1991
N178DZ	2000
N178JB	2005
N178US	2001
N17984	2000
N179DN	1991
N179JB	2005
N179UW	2001
N180DN	1992
N180US	2001
N18101	2002
N18102	2002
N18112	1995
N18114	2002
N18119	1997
N18120	2003
N181DN	1992
N181PQ	2008
N181UW	NA
N18220	1998
N18223	1998
N18243	1999
N182DN	1992
N182UW	2001
N183DN	1993
N183JB	2005
N183UW	2001
N184AT	2005
N184DN	1993
N184JB	2005
N184US	2002
N18556	2002
N18557	NA
N185DN	1995
N185UW	2002
N186DN	1995
N186PQ	2008
N186US	2002
N187DN	1996
N187JB	2005
N187PQ	2008
N187US	2002
N188DN	1996
N188US	2002
N189DN	1997
N189UW	2001
N190DN	1997
N190JB	2005
N190UW	2001
N19117	1996
N19130	1998
N19136	1999
N19141	2000
N191DN	1997
N191UW	2001
N192DN	1997
N192JB	2005
N192UW	2001
N193DN	1997
N193JB	2005
N193UW	2008
N194DN	1997
N194UW	NA
N19554	2002
N195DN	1997
N195PQ	2008
N195UW	2008
N196DN	1997
N196UW	2009
N197DN	1997
N197JB	2006
N197PQ	2008
N197UW	2009
N198DN	1998
N198JB	2006
N198UW	2013
N19966	1999
N199DN	1998
N199UW	2013
N200PQ	2008
N200WN	2005
