codigo_cola	asientos
N10156	55
N102UW	182
N103US	182
N104UW	182
N10575	55
N105UW	182
N107US	182
N108UW	182
N109UW	182
N110UW	182
N11106	55
N11107	55
N11109	55
N11113	55
N11119	55
N11121	55
N11127	55
N11137	55
N11140	55
N11150	55
N11155	55
N11164	55
N11165	55
N11176	55
N11181	55
N11184	55
N11187	55
N11189	55
N11191	55
N11192	55
N11193	55
N11194	55
N11199	55
N111US	182
N11206	149
N112US	182
N113UW	182
N114UW	182
N11535	55
N11536	55
N11539	55
N11544	55
N11547	55
N11548	55
N11551	55
N11565	55
N117UW	182
N118US	182
N119US	182
N1200K	330
N1201P	330
N12109	178
N12114	178
N12116	178
N12122	55
N12125	178
N12126	55
N12135	55
N12136	55
N12142	55
N12145	55
N12157	55
N12160	55
N12163	55
N12166	55
N12167	55
N12172	55
N12175	55
N12195	55
N121DE	330
N121UW	182
N12201	55
N12216	149
N12218	149
N12221	149
N12225	149
N12238	149
N122US	182
N123UW	182
N124US	182
N12540	55
N12552	55
N12563	55
N12564	55
N12567	55
N12569	55
N125UW	182
N126UW	182
N127UW	182
N128UW	182
N12900	55
N12921	55
N12922	55
N12924	55
N12957	55
N12967	55
N12996	55
N13110	178
N13113	178
N13118	55
N13123	55
N13124	55
N13132	55
N13133	55
N13138	178
N13161	55
N131EV	95
N13202	55
N13248	149
N132EV	95
N133EV	95
N134EV	95
N13538	55
N13550	55
N13553	55
N13566	55
N135EV	95
N136DL	330
N136EV	95
N13716	149
N13718	149
N13750	149
N137DL	330
N137EV	95
N138EV	95
N13903	55
N13908	55
N13913	55
N13914	55
N13949	55
N13955	55
N13956	55
N13958	55
N13964	55
N13965	55
N13968	55
N13969	55
N13970	55
N13975	55
N13978	55
N13979	55
N13988	55
N13989	55
N13992	55
N13994	55
N13995	55
N13997	55
N14102	178
N14105	55
N14106	178
N14107	178
N14115	178
N14116	55
N14117	55
N14118	178
N14120	178
N14121	178
N14125	55
N14143	55
N14148	55
N14153	55
N14158	55
N14162	55
N14168	55
N14171	55
N14173	55
N14174	55
N14177	55
N14179	55
N14180	55
N14186	55
N14188	55
N14198	55
N14203	55
N14204	55
N14214	149
N14219	149
N14228	149
N14230	149
N14231	149
N14237	149
N14242	149
N14250	149
N143DA	330
N14542	55
N14543	55
N14558	55
N14562	55
N14568	55
N14570	55
N14573	55
N14629	149
N146PQ	95
N14704	149
N14731	149
N147PQ	95
N14902	55
N14904	55
N14905	55
N14907	55
N14916	55
N14920	55
N14923	55
