codigo_cola	modelo
N10156	EMB-145XR
N102UW	A320-214
N103US	A320-214
N104UW	A320-214
N10575	EMB-145LR
N105UW	A320-214
N107US	A320-214
N108UW	A320-214
N109UW	A320-214
N110UW	A320-214
N11106	EMB-145XR
N11107	EMB-145XR
N11109	EMB-145XR
N11113	EMB-145XR
N11119	EMB-145XR
N11121	EMB-145XR
N11127	EMB-145XR
N11137	EMB-145XR
N11140	EMB-145XR
N11150	EMB-145XR
N11155	EMB-145XR
N11164	EMB-145XR
N11165	EMB-145XR
N11176	EMB-145XR
N11181	EMB-145XR
N11184	EMB-145XR
N11187	EMB-145XR
N11189	EMB-145XR
N11191	EMB-145XR
N11192	EMB-145XR
N11193	EMB-145XR
N11194	EMB-145XR
N11199	EMB-145XR
N111US	A320-214
N11206	737-824
N112US	A320-214
N113UW	A320-214
N114UW	A320-214
N11535	EMB-145LR
N11536	EMB-145LR
N11539	EMB-145LR
N11544	EMB-145LR
N11547	EMB-145LR
N11548	EMB-145LR
N11551	EMB-145LR
N11565	EMB-145LR
N117UW	A320-214
N118US	A320-214
N119US	A320-214
N1200K	767-332
N1201P	767-332
N12109	757-224
N12114	757-224
N12116	757-224
N12122	EMB-145XR
N12125	757-224
N12126	EMB-145XR
N12135	EMB-145XR
N12136	EMB-145XR
N12142	EMB-145XR
N12145	EMB-145XR
N12157	EMB-145XR
N12160	EMB-145XR
N12163	EMB-145XR
N12166	EMB-145XR
N12167	EMB-145XR
N12172	EMB-145XR
N12175	EMB-145XR
N12195	EMB-145XR
N121DE	767-332
N121UW	A320-214
N12201	EMB-145XR
N12216	737-824
N12218	737-824
N12221	737-824
N12225	737-824
N12238	737-824
N122US	A320-214
N123UW	A320-214
N124US	A320-214
N12540	EMB-145LR
N12552	EMB-145LR
N12563	EMB-145LR
N12564	EMB-145LR
N12567	EMB-145LR
N12569	EMB-145LR
N125UW	A320-214
N126UW	A320-214
N127UW	A320-214
N128UW	A320-214
N12900	EMB-145LR
N12921	EMB-145LR
N12922	EMB-145LR
N12924	EMB-145LR
N12957	EMB-145LR
N12967	EMB-145LR
N12996	EMB-145LR
N13110	757-224
N13113	757-224
N13118	EMB-145XR
N13123	EMB-145XR
N13124	EMB-145XR
N13132	EMB-145XR
N13133	EMB-145XR
N13138	757-224
N13161	EMB-145XR
N131EV	CL-600-2D24
N13202	EMB-145XR
N13248	737-824
N132EV	CL-600-2D24
N133EV	CL-600-2D24
N134EV	CL-600-2D24
N13538	EMB-145LR
N13550	EMB-145LR
N13553	EMB-145LR
N13566	EMB-145LR
N135EV	CL-600-2D24
N136DL	767-332
N136EV	CL-600-2D24
N13716	737-724
N13718	737-724
N13750	737-724
N137DL	767-332
N137EV	CL-600-2D24
N138EV	CL-600-2D24
N13903	EMB-145LR
N13908	EMB-145LR
N13913	EMB-145LR
N13914	EMB-145LR
N13949	EMB-145LR
N13955	EMB-145LR
