codigo_cola	motores
N10156	2
N102UW	2
N103US	2
N104UW	2
N10575	2
N105UW	2
N107US	2
N108UW	2
N109UW	2
N110UW	2
N11106	2
N11107	2
N11109	2
N11113	2
N11119	2
N11121	2
N11127	2
N11137	2
N11140	2
N11150	2
N11155	2
N11164	2
N11165	2
N11176	2
N11181	2
N11184	2
N11187	2
N11189	2
N11191	2
N11192	2
N11193	2
N11194	2
N11199	2
N111US	2
N11206	2
N112US	2
N113UW	2
N114UW	2
N11535	2
N11536	2
N11539	2
N11544	2
N11547	2
N11548	2
N11551	2
N11565	2
N117UW	2
N118US	2
N119US	2
N1200K	2
N1201P	2
N12109	2
N12114	2
N12116	2
N12122	2
N12125	2
N12126	2
N12135	2
N12136	2
N12142	2
N12145	2
N12157	2
N12160	2
N12163	2
N12166	2
N12167	2
N12172	2
N12175	2
N12195	2
N121DE	2
N121UW	2
N12201	2
N12216	2
N12218	2
N12221	2
N12225	2
N12238	2
N122US	2
N123UW	2
N124US	2
N12540	2
N12552	2
N12563	2
N12564	2
N12567	2
N12569	2
N125UW	2
N126UW	2
N127UW	2
N128UW	2
N12900	2
N12921	2
N12922	2
N12924	2
N12957	2
N12967	2
N12996	2
N13110	2
N13113	2
N13118	2
N13123	2
N13124	2
N13132	2
N13133	2
N13138	2
N13161	2
N131EV	2
N13202	2
N13248	2
N132EV	2
N133EV	2
N134EV	2
N13538	2
N13550	2
N13553	2
N13566	2
N135EV	2
N136DL	2
N136EV	2
N13716	2
N13718	2
N13750	2
N137DL	2
N137EV	2
N138EV	2
N13903	2
N13908	2
N13913	2
N13914	2
N13949	2
N13955	2
N13956	2
N13958	2
N13964	2
N13965	2
N13968	2
N13969	2
N13970	2
N13975	2
N13978	2
N13979	2
N13988	2
N13989	2
N13992	2
N13994	2
N13995	2
N13997	2
N14102	2
N14105	2
N14106	2
N14107	2
N14115	2
N14116	2
N14117	2
N14118	2
N14120	2
N14121	2
N14125	2
N14143	2
N14148	2
N14153	2
N14158	2
N14162	2
N14168	2
N14171	2
N14173	2
N14174	2
N14177	2
N14179	2
N14180	2
N14186	2
N14188	2
N14198	2
N14203	2
N14204	2
N14214	2
N14219	2
N14228	2
N14230	2
N14231	2
N14237	2
N14242	2
N14250	2
N143DA	2
N14542	2
N14543	2
N14558	2
N14562	2
N14568	2
N14570	2
N14573	2
N14629	2
N146PQ	2
N14704	2
N14731	2
N147PQ	2
N14902	2
N14904	2
N14905	2
N14907	2
N14916	2
N14920	2
N14923	2
N14950	2
N14952	2
N14953	2
N14959	2
N14960	2
N14972	2
N14974	2
N14977	2
N14991	2
N14993	2
N14998	2
N1501P	2
N150UW	2
N151UW	2
N152DL	2
N152UW	2
N153DL	2
N153PQ	2
N153UW	2
N154DL	2
N154UW	2
N15555	2
N15572	2
N15574	2
N155DL	2
N155UW	2
N156DL	2
N156UW	2
N15710	2
N15712	2
N157UW	2
N15910	2
N15912	2
N15973	2
N15980	2
N15983	2
N15985	2
N15986	2
N1602	2
N1603	2
N1604R	2
N1605	2
N16065	2
N1607B	2
N1608	2
N1609	2
N1610D	2
N16112	2
N1611B	2
N1612T	2
N1613B	2
N16147	2
N16149	2
N16151	2
N16170	2
N16178	2
N16183	2
N161PQ	2
N161UW	2
N16217	2
N16234	2
N162PQ	2
N162UW	2
N163US	2
N16541	2
N16546	2
N16559	2
N16561	2
N16571	2
N165US	2
N166PQ	2
N16701	2
N16703	2
N16709	2
N16713	2
N16732	2
N167US	2
N168AT	2
N16911	2
N16918	2
N16919	2
N16951	2
N16954	2
N16961	2
N16963	2
N16976	2
N16981	2
N16987	2
N16999	2
N169AT	2
N169DZ	2
N169UW	2
N170PQ	2
N170US	2
N17104	2
N17105	2
N17108	2
N17115	2
N17122	2
N17126	2
N17128	2
N17133	2
N17138	2
N17139	2
N17146	2
N17159	2
N17169	2
N17185	2
N17196	2
N171DN	2
N171DZ	2
N171US	2
N17229	2
N17233	2
N17244	2
N17245	2
N172DN	2
N172DZ	2
N172US	2
N173AT	2
N173DZ	2
N173US	2
N174AT	2
N174DN	2
N174DZ	2
N174US	2
N17560	2
N175AT	2
N175DN	2
N175DZ	2
N176AT	2
N176DN	2
N176DZ	2
N176PQ	2
N176UW	2
N17719	2
N17730	2
N177DN	2
N177DZ	2
N177US	2
N178DN	2
N178DZ	2
N178JB	2
N178US	2
N17984	2
N179DN	2
N179JB	2
N179UW	2
N180DN	2
N180US	2
N18101	2
N18102	2
N18112	2
N18114	2
N18119	2
N18120	2
N181DN	2
N181PQ	2
N181UW	2
N18220	2
N18223	2
N18243	2
N182DN	2
N182UW	2
N183DN	2
N183JB	2
N183UW	2
N184AT	2
N184DN	2
N184JB	2
N184US	2
N18556	2
N18557	2
N185DN	2
N185UW	2
N186DN	2
N186PQ	2
N186US	2
N187DN	2
N187JB	2
N187PQ	2
N187US	2
N188DN	2
N188US	2
N189DN	2
N189UW	2
N190DN	2
N190JB	2
N190UW	2
N19117	2
N19130	2
N19136	2
N19141	2
N191DN	2
N191UW	2
N192DN	2
N192JB	2
N192UW	2
N193DN	2
N193JB	2
N193UW	2
N194DN	2
N194UW	2
N19554	2
N195DN	2
N195PQ	2
N195UW	2
N196DN	2
N196UW	2
N197DN	2
N197JB	2
N197PQ	2
N197UW	2
N198DN	2
N198JB	2
N198UW	2
N19966	2
N199DN	2
N199UW	2
N200PQ	2
N200WN	2
N201AA	1
N201FR	2
N201LV	2
N202AA	2
N202FR	2
N202WN	2
N203FR	2
N203JB	2
N203WN	2
N204FR	2
N204WN	2
N205FR	2
N205WN	2
N206FR	2
N206JB	2
N206UA	2
N206WN	2
N207FR	2
N207WN	2
N208FR	2
N208WN	2
N20904	2
N209FR	2
N209WN	2
N210FR	2
N210WN	2
N21108	2
N21129	2
N21130	2
N21144	2
N21154	2
N21197	2
N211FR	2
N211WN	2
N212WN	2
N213FR	2
N213WN	2
N214FR	2
N214WN	2
N21537	2
N215WN	2
N216FR	2
N216JB	2
N216WR	2
N21723	2
N217JC	2
N218FR	2
N218WN	2
N219WN	2
N220WN	2
N221FR	2
N221WN	2
N222WN	2
N223WN	2
N224WN	2
N225WN	2
N226WN	2
N227WN	2
N228JB	2
N228PQ	2
N228UA	2
N228WN	2
N22909	2
N22971	2
N229JB	2
N229WN	2
N230WN	2
N23139	2
N231JB	2
N231WN	2
N232PQ	2
N232WN	2
N233LV	2
N234WN	2
N235WN	2
N236JB	2
N236WN	2
N23707	2
N23708	2
N23721	2
N237WN	2
N238JB	2
N238WN	2
N239JB	2
N239WN	2
N240AT	2
N240WN	2
N24103	2
N24128	2
N241WN	2
N24202	2
N24211	2
N24212	2
N24224	2
N242WN	2
N243WN	2
N244WN	2
N245AY	2
N245WN	2
N246LV	2
N24702	2
N24706	2
N24715	2
N24729	2
N247JB	2
N247WN	2
N248WN	2
N249JB	2
N249WN	2
N250WN	2
N25134	2
N251WN	2
N252WN	2
N253WN	2
N254WN	2
N255WN	2
N256WN	2
N25705	2
N257WN	2
N258JB	2
N258WN	2
N259WN	2
N260WN	2
N26123	2
N26141	2
N261AT	2
N261WN	2
N26208	2
N26210	2
N26215	2
N26226	2
N262WN	2
N263WN	2
N264LV	2
N26545	2
N26549	2
N265JB	2
N265WN	2
N266JB	2
N266WN	2
N267JB	2
N267WN	2
N268WN	2
N26906	2
N269WN	2
N270WN	2
N27152	2
N27190	2
N271LV	2
N27200	2
N27205	2
N27213	2
N27239	2
N272AT	2
N272PQ	2
N272WN	2
N273AT	2
N273JB	2
N273WN	2
N27421	2
N27477	2
N274JB	2
N274WN	2
N275WN	2
N276AT	2
N276WN	2
N27722	2
N27724	2
N27733	2
N277WN	2
N278AT	2
N278WN	2
N27901	2
N27962	2
N279AT	2
N279JB	2
N279PQ	2
N279WN	2
N280WN	2
N281AT	4
N281JB	2
N281WN	2
N282WN	2
N283JB	2
N283WN	2
N28457	2
N28478	2
N284AT	2
N284JB	2
N284WN	2
N285AT	2
N285WN	2
N286WN	2
N287AT	2
N287WN	2
N288WN	2
N289AT	2
N289CT	2
N290WN	2
N29124	2
N29129	2
N291AT	2
N291WN	2
N292JB	2
N292PQ	2
N292WN	2
N293PQ	2
N293WN	2
N294JB	2
N294PQ	2
N294WN	2
N295AT	2
N295PQ	2
N295WN	2
N296JB	2
N296PQ	2
N296WN	2
N29717	2
N297PQ	2
N297WN	2
N298JB	2
N298PQ	2
N298WN	2
N29906	2
N29917	2
N299AT	2
N299PQ	2
N299WN	2
N301DQ	2
N301NB	2
N302AS	2
N302DQ	2
N302NB	2
N303AS	2
N303DQ	2
N30401	2
N304DQ	2
N304JB	2
N305AS	2
N305DQ	2
N306AS	2
N306DQ	2
N306JB	2
N307AS	2
N307DQ	2
N307JB	2
N308DE	2
N309AS	2
N309AT	2
N309DE	2
N309JB	2
N309US	2
N310DE	2
N310NW	2
N31131	2
N311US	2
N312US	2
N313US	2
N31412	2
N314NB	2
N314US	2
N315AS	2
N315AT	1
N315NB	2
N315US	2
N316JB	2
N316NB	2
N316US	2
N317JB	2
N317NB	2
N317US	2
N317WN	2
N318AS	2
N318JB	2
N318NB	2
N318US	2
N319AA	2
N319AS	2
N319NB	2
N319US	2
N320AA	2
N320AS	2
N320NB	2
N320US	2
N321NB	2
N321US	2
N322NB	2
N322US	2
N323AA	2
N323AS	2
N323JB	2
N323NB	2
N323US	2
N32404	2
N324AA	2
N324JB	2
N324NB	2
N324US	2
N325AA	2
N325NB	2
N325US	2
N326AT	2
N326NB	2
N326US	2
N327AA	2
N327NB	2
N327NW	2
N328AA	2
N328JB	2
N328NB	2
N328NW	2
N329AA	2
N329JB	2
N329NB	2
N329NW	2
N330AT	2
N330NB	2
N330NW	2
N33103	2
N33132	2
N33182	2
N331NB	2
N331NW	2
N33203	2
N33209	2
N33262	2
N33264	2
N33266	2
N33284	2
N33286	2
N33289	2
